Deal Type,Announce Date,Amendment Date,Completion/Termination Date,Target Name,Target Ticker,Acquirer Name,Acquirer Ticker,Announced Total Value (mil.),Announced Equity Value (mil.),Payment Type,TV/EBITDA,Deal Status,Acquirer Termination Fee,Cash Terms,Nature of Bid,Stock Terms
M&A,8/15/2016, ,12/1/2016,Post Properties Inc,PPS US,Mid-America Apartment Communities Inc,MAA US,4894.98,3967.01,Stock,23.97,Completed,245,N/A,Friendly,.7100 Aqr sh./Tgt sh.
M&A,2/6/2007, ,9/5/2007,Radian Group Inc,RDN US,MGIC Investment Corp,MTG US,4865.48,4865.48,Stock, ,Terminated,185,N/A,Friendly,.9658 Aqr sh./Tgt sh.
M&A,10/12/2021, ,3/2/2023,Umpqua Holdings Corp,UMPQ US,Columbia Banking System Inc,COLB US,4847.91,4847.91,Stock, ,Completed, ,N/A,Friendly,.5958 Aqr sh./Tgt sh.
M&A,2/26/2018, ,7/16/2018,Spectrum Brands Legacy Inc,9999966D US,Spectrum Brands Holdings Inc,SPB US,4811.24,969.84,Stock,8.42,Completed, ,N/A,Friendly,1.0000 Aqr sh./Tgt sh.
M&A,6/23/2008, ,11/10/2008,Ingredion Inc,INGR US,Bunge Global SA,BG US,4674.37,4260.37,Stock,9.5,Terminated, ,N/A,Friendly,USD 56.0000/Tgt sh.
M&A,10/30/2023, ,3/1/2024,Physicians Realty Trust,DOC US,Healthpeak Properties Inc,DOC US,4631.56,2764.92,Stock,14.48,Completed, ,N/A,Friendly,.6740 Aqr sh./Tgt sh.
M&A,8/1/2005,3/7/2006,8/23/2006,Shurgard Storage Centers LLC,SHU US,Public Storage,PSA US,4623.75,2979.51,Stock,24.81,Completed, ,N/A,Hostile,.8200 Aqr sh./Tgt sh.
M&A,7/13/2023, ,11/2/2023,Denbury Inc,DEN US,Exxon Mobil Corp,XOM US,4522.62,4435.93,Stock,7.72,Completed, ,N/A,Friendly,.8400 Aqr sh./Tgt sh.
M&A,7/26/2004, ,2/27/2005,KP Pharmaceuticals LLC,KG US,Mylan NV,MYL US,4485.42,4294.3,Stock, ,Terminated, ,N/A,Friendly,.9000 Aqr sh./Tgt sh.
M&A,1/4/2024, ,4/1/2024,Callon Petroleum Co,CPE US,APA Corp,APA US,4454.48,2509.32,Stock,2.04,Completed,170,N/A,Friendly,1.0425 Aqr sh./Tgt sh.
M&A,2/5/2007, ,7/3/2007,Investors Financial Services Corp,IFIN US,State Street Corp,STT US,4417.01,4417.01,Stock, ,Completed, ,N/A,Friendly,.9060 Aqr sh./Tgt sh.
M&A,11/2/2009, ,3/15/2010,Black & Decker Corp/The,BDK US,Stanley Black & Decker Inc,SWK US,4396,3495.3,Stock,11.11,Completed,125,N/A,Friendly,1.2750 Aqr sh./Tgt sh.
