Deal Type,Announce Date,Amendment Date,Completion/Termination Date,Target Name,Target Ticker,Acquirer Name,Acquirer Ticker,Announced Total Value (mil.),Announced Equity Value (mil.),Payment Type,TV/EBITDA,Deal Status,Acquirer Termination Fee,Cash Terms,Nature of Bid,Stock Terms,deal_id,Exchange Ratio,Clean Target Ticker,Clean Acquirer Ticker,target_market_cap,acquirer_market_cap
M&A,2018-11-12,,2019-02-14,iPass Inc,IPAS US,Pareteum Corp,TEUM US,28.27,29.59,Stock,,Completed,,,Friendly,1.1700 Aqr sh./Tgt sh.,872,1.17,IPAS,TEUM,,192630240.0
M&A,2012-08-02,,2013-01-11,Community Financial Corp/VA,CFFC US,City Holding Co,CHCO US,25.88,25.88,Stock,,Completed,,,Friendly,.1753 Aqr sh./Tgt sh.,881,0.1753,CFFC,CHCO,23991000.0,495021399.99999994
M&A,2016-11-02,,2017-05-19,American DG Energy Inc,ADGE US,Tecogen Inc,TGEN US,25.1,19.56,Stock,,Completed,,,Friendly,.0920 Aqr sh./Tgt sh.,886,0.092,ADGE,TGEN,15970528.399999999,82194000.0
M&A,2009-04-03,,2009-11-09,First Capital Bancorp Inc/VA,FCVA US,Eastern Virginia Bankshares Inc,EVBS US,24.87,24.87,Stock,,Terminated,,,Friendly,.9800 Aqr sh./Tgt sh.,888,0.98,FCVA,EVBS,,
M&A,2009-07-31,,2009-10-05,Frontier Financial Corp,FTBK US,SP Acquisition Holdings Inc,DSP US,24.23,24.23,Stock,,Terminated,,,Friendly,.0530 Aqr sh./Tgt sh.,892,0.053,FTBK,DSP,,
M&A,2004-08-10,,2004-11-02,Primus Knowledge Solutions Inc,PKSI US,Art Technology Group Inc,ARTG US,23.92,31.91,Stock,,Completed,,,Friendly,1.3558 Aqr sh./Tgt sh.,894,1.3558,PKSI,ARTG,22661300.0,58371520.00000001
M&A,2010-05-14,,2010-10-19,Catalytic Solutions Inc,CTS LN,CDTi Advanced Materials Inc,CDTI US,22.92,,Stock,,Completed,0.204,,Friendly,.0473 Aqr sh./Tgt sh.,900,0.0473,CTS,CDTI,,
M&A,2005-11-10,,2006-02-01,eCost.com Inc,ECST US,PFSweb Inc,PFSW US,21.38,27.68,Stock,,Completed,,,Friendly,1.0000 Aqr sh./Tgt sh.,907,1.0,ECST,PFSW,24679449.999999996,32438879.999999996
M&A,2024-05-31,,2024-09-30,Strong Global Entertainment Inc,SGE US,Fundamental Global Inc,FGF US,18.39,14.62,Stock,11.65,Completed,,,Friendly,1.5000 Aqr sh./Tgt sh.,924,1.5,SGE,FGF,,
M&A,2015-03-27,,2015-06-15,RevettMining Co Inc,RVM CN,Hecla Mining Co,HL US,15.04,13.56,Stock,,Completed,,,Friendly,.1622 Aqr sh./Tgt sh.,937,0.1622,RVM,HL,,
M&A,2003-11-26,,2004-01-23,Fotoball USA Inc,FUSA US,K2 Inc,KTO US,13.69,16.95,Stock,52.53,Completed,,,Friendly,.2757 Aqr sh./Tgt sh.,946,0.2757,FUSA,KTO,,
M&A,2023-05-24,,2023-08-24,Apexigen Inc,APGN US,Pyxis Oncology Inc,PYXS US,13.58,13.58,Stock,,Completed,,,Friendly,.1725 Aqr sh./Tgt sh.,949,0.1725,APGN,PYXS,12281178.0,118750725.0
M&A,2008-12-31,2009-06-18,2009-10-01,Abigail Adams National Bancorp Inc,AANB US,Premier Financial Bancorp Inc,PFBI US,11.74,11.74,Stock,,Completed,,,Friendly,.4461 Aqr sh./Tgt sh.,964,0.4461,AANB,PFBI,,
M&A,2012-05-29,,2013-02-20,BancTrust Financial Group Inc,BTFG US,Trustmark Corp,TRMK US,11.23,56.22,Stock,,Completed,,,Friendly,.1250 Aqr sh./Tgt sh.,969,0.125,BTFG,TRMK,53185280.0,1582233380.0
M&A,2023-09-21,,2023-12-29,Applied Molecular Transport Inc,AMTI US,Cyclo Therapeutics Inc,CYTH US,8.46,8.46,Stock,,Completed,,,Friendly,.1331 Aqr sh./Tgt sh.,987,0.1331,AMTI,CYTH,6892189.200000001,29734320.0
M&A,2005-03-21,,2005-07-20,IAC Search & Media Inc,ASKJ US,Match Group Inc,MTCH US,6.47,,Stock,0.08,Completed,,,Friendly,1.2668 Aqr sh./Tgt sh.,1000,1.2668,ASKJ,MTCH,1662364300.0,12497480.0
M&A,2008-10-28,,2009-05-29,Avalon Pharmaceuticals Inc,AVRX US,Clinical Data Inc,CLDA US,4.62,10.28,Stock,,Completed,,,Friendly,.0470 Aqr sh./Tgt sh.,1015,0.047,AVRX,CLDA,7667100.0,255165240.00000003
M&A,2019-12-18,,2020-04-03,Southwest Georgia Financial Corp,SGB US,First Bancshares Inc/The,FBMS US,,,Stock,,Completed,,,Friendly,1.0000 Aqr sh./Tgt sh.,1134,1.0,SGB,FBMS,86894470.80000001,654706480.0000001
M&A,2018-12-17,,2019-07-01,Fidelity Southern Corp,LION US,Ameris Bancorp,ABCB US,,,Stock,,Completed,,,Friendly,.8000 Aqr sh./Tgt sh.,1141,0.8,LION,ABCB,701285620.0,1527696479.9999998
M&A,2020-05-27,,2020-06-08,Vivaldi Opportunities Fund,VAM US,Angel Oak Financial Strategies Income Term Trust,FINS US,,,Stock,,Completed,,,Friendly,.6470 Aqr sh./Tgt sh.,1150,0.647,VAM,FINS,-61017840.00000001,192153600.0
M&A,2022-12-22,,2023-02-14,Westwater Resources Inc,WWR US,Idaho Strategic Resources Inc,IDR US,,,Stock,,Withdrawn,,,Unsolicited,.2353 Aqr sh./Tgt sh.,1164,0.2353,WWR,IDR,41577955.0,69442520.0
M&A,2024-08-12,,2024-12-11,Forza X1 Inc,FRZA US,Twin Vee PowerCats Co,VEEE US,,,Stock,,Completed,,,Friendly,.6117 Aqr sh./Tgt sh.,1170,0.6117,FRZA,VEEE,3992317.0,4561508.0
